Year,Territory,Value,Indicator
1992,Canada,2.313,Death Certificate Only
1993,Canada,1.988,Death Certificate Only
1994,Canada,1.603,Death Certificate Only
1995,Canada,1.671,Death Certificate Only
1996,Canada,1.770,Death Certificate Only
1997,Canada,1.684,Death Certificate Only
1998,Canada,1.647,Death Certificate Only
1999,Canada,1.755,Death Certificate Only
2000,Canada,1.969,Death Certificate Only
2001,Canada,1.936,Death Certificate Only
2002,Canada,1.704,Death Certificate Only
2003,Canada,1.628,Death Certificate Only
2004,Canada,1.574,Death Certificate Only
2005,Canada,1.514,Death Certificate Only
2006,Canada,1.606,Death Certificate Only
2007,Canada,1.625,Death Certificate Only
2008,Canada,1.608,Death Certificate Only
2009,Canada,1.458,Death Certificate Only
2010,Canada,2.028,Death Certificate Only
2011,Canada,1.331,Death Certificate Only
2012,Canada,2.306,Death Certificate Only
2013,Canada,1.967,Death Certificate Only
2014,Canada,2.277,Death Certificate Only
2015,Canada,2.250,Death Certificate Only
2016,Canada,2.255,Death Certificate Only
2017,Canada,2.261,Death Certificate Only
2018,Canada,0.909,Death Certificate Only
2019,Canada,0.874,Death Certificate Only
2020,Canada,0.228,Death Certificate Only
1992,NL,0.000,Death Certificate Only
1993,NL,0.000,Death Certificate Only
1994,NL,0.000,Death Certificate Only
1995,NL,0.000,Death Certificate Only
1996,NL,0.000,Death Certificate Only
1997,NL,0.000,Death Certificate Only
1998,NL,0.000,Death Certificate Only
1999,NL,0.000,Death Certificate Only
2000,NL,0.000,Death Certificate Only
2001,NL,0.000,Death Certificate Only
2002,NL,0.000,Death Certificate Only
2003,NL,0.000,Death Certificate Only
2004,NL,0.000,Death Certificate Only
2005,NL,0.000,Death Certificate Only
2006,NL,2.609,Death Certificate Only
2007,NL,3.464,Death Certificate Only
2008,NL,1.969,Death Certificate Only
2009,NL,1.517,Death Certificate Only
2010,NL,1.460,Death Certificate Only
2011,NL,1.315,Death Certificate Only
2012,NL,1.185,Death Certificate Only
2013,NL,1.160,Death Certificate Only
2014,NL,1.132,Death Certificate Only
2015,NL,0.691,Death Certificate Only
2016,NL,0.308,Death Certificate Only
2017,NL,0.552,Death Certificate Only
2018,NL,0.371,Death Certificate Only
2019,NL,0.631,Death Certificate Only
2020,NL,0.740,Death Certificate Only
1992,PE,0.865,Death Certificate Only
1993,PE,0.560,Death Certificate Only
1994,PE,0.000,Death Certificate Only
1995,PE,0.562,Death Certificate Only
1996,PE,1.149,Death Certificate Only
1997,PE,0.000,Death Certificate Only
1998,PE,0.000,Death Certificate Only
1999,PE,0.123,Death Certificate Only
2000,PE,0.000,Death Certificate Only
2001,PE,0.000,Death Certificate Only
2002,PE,0.355,Death Certificate Only
2003,PE,0.000,Death Certificate Only
2004,PE,0.000,Death Certificate Only
2005,PE,0.000,Death Certificate Only
2006,PE,0.110,Death Certificate Only
2007,PE,0.000,Death Certificate Only
2008,PE,0.334,Death Certificate Only
2009,PE,0.210,Death Certificate Only
2010,PE,0.311,Death Certificate Only
2011,PE,0.389,Death Certificate Only
2012,PE,0.195,Death Certificate Only
2013,PE,0.097,Death Certificate Only
2014,PE,0.478,Death Certificate Only
2015,PE,0.271,Death Certificate Only
2016,PE,0.092,Death Certificate Only
2017,PE,0.267,Death Certificate Only
2018,PE,0.374,Death Certificate Only
2019,PE,0.258,Death Certificate Only
2020,PE,0.177,Death Certificate Only
1992,NS,6.235,Death Certificate Only
1993,NS,5.966,Death Certificate Only
1994,NS,3.078,Death Certificate Only
1995,NS,2.565,Death Certificate Only
1996,NS,1.525,Death Certificate Only
1997,NS,1.560,Death Certificate Only
1998,NS,1.755,Death Certificate Only
1999,NS,1.849,Death Certificate Only
2000,NS,1.635,Death Certificate Only
2001,NS,1.537,Death Certificate Only
2002,NS,0.703,Death Certificate Only
2003,NS,0.893,Death Certificate Only
2004,NS,0.583,Death Certificate Only
2005,NS,0.693,Death Certificate Only
2006,NS,0.531,Death Certificate Only
2007,NS,0.812,Death Certificate Only
2008,NS,0.767,Death Certificate Only
2009,NS,0.557,Death Certificate Only
2010,NS,0.688,Death Certificate Only
2011,NS,0.514,Death Certificate Only
2012,NS,1.339,Death Certificate Only
2013,NS,0.956,Death Certificate Only
2014,NS,0.871,Death Certificate Only
2015,NS,0.890,Death Certificate Only
2016,NS,0.993,Death Certificate Only
2017,NS,1.056,Death Certificate Only
2018,NS,1.069,Death Certificate Only
2019,NS,0.000,Death Certificate Only
2020,NS,No data,Death Certificate Only
1992,NB,0.475,Death Certificate Only
1993,NB,0.393,Death Certificate Only
1994,NB,0.273,Death Certificate Only
1995,NB,0.087,Death Certificate Only
1996,NB,0.225,Death Certificate Only
1997,NB,0.159,Death Certificate Only
1998,NB,0.125,Death Certificate Only
1999,NB,0.272,Death Certificate Only
2000,NB,0.000,Death Certificate Only
2001,NB,0.072,Death Certificate Only
2002,NB,0.000,Death Certificate Only
2003,NB,0.024,Death Certificate Only
2004,NB,0.069,Death Certificate Only
2005,NB,0.021,Death Certificate Only
2006,NB,0.000,Death Certificate Only
2007,NB,0.123,Death Certificate Only
2008,NB,0.099,Death Certificate Only
2009,NB,0.039,Death Certificate Only
2010,NB,0.255,Death Certificate Only
2011,NB,0.172,Death Certificate Only
2012,NB,0.345,Death Certificate Only
2013,NB,0.147,Death Certificate Only
2014,NB,0.131,Death Certificate Only
2015,NB,0.164,Death Certificate Only
2016,NB,0.210,Death Certificate Only
2017,NB,0.274,Death Certificate Only
2018,NB,0.269,Death Certificate Only
2019,NB,0.222,Death Certificate Only
2020,NB,0.512,Death Certificate Only
1992,QC,2.288,Death Certificate Only
1993,QC,1.968,Death Certificate Only
1994,QC,1.769,Death Certificate Only
1995,QC,1.838,Death Certificate Only
1996,QC,2.188,Death Certificate Only
1997,QC,2.484,Death Certificate Only
1998,QC,2.350,Death Certificate Only
1999,QC,2.302,Death Certificate Only
2000,QC,2.863,Death Certificate Only
2001,QC,2.667,Death Certificate Only
2002,QC,2.757,Death Certificate Only
2003,QC,2.469,Death Certificate Only
2004,QC,2.540,Death Certificate Only
2005,QC,2.581,Death Certificate Only
2006,QC,2.531,Death Certificate Only
2007,QC,2.498,Death Certificate Only
2008,QC,2.660,Death Certificate Only
2009,QC,2.554,Death Certificate Only
2010,QC,4.918,Death Certificate Only
2011,QC,2.453,Death Certificate Only
2012,QC,5.449,Death Certificate Only
2013,QC,4.748,Death Certificate Only
2014,QC,5.976,Death Certificate Only
2015,QC,5.795,Death Certificate Only
2016,QC,5.652,Death Certificate Only
2017,QC,5.532,Death Certificate Only
2018,QC,No data,Death Certificate Only
2019,QC,No data,Death Certificate Only
2020,QC,No data,Death Certificate Only
1992,ON,1.616,Death Certificate Only
1993,ON,1.423,Death Certificate Only
1994,ON,1.421,Death Certificate Only
1995,ON,1.580,Death Certificate Only
1996,ON,1.886,Death Certificate Only
1997,ON,1.794,Death Certificate Only
1998,ON,1.727,Death Certificate Only
1999,ON,1.874,Death Certificate Only
2000,ON,1.917,Death Certificate Only
2001,ON,1.852,Death Certificate Only
2002,ON,1.896,Death Certificate Only
2003,ON,2.030,Death Certificate Only
2004,ON,1.705,Death Certificate Only
2005,ON,1.383,Death Certificate Only
2006,ON,1.535,Death Certificate Only
2007,ON,1.622,Death Certificate Only
2008,ON,1.586,Death Certificate Only
2009,ON,1.427,Death Certificate Only
2010,ON,1.248,Death Certificate Only
2011,ON,1.239,Death Certificate Only
2012,ON,1.379,Death Certificate Only
2013,ON,1.555,Death Certificate Only
2014,ON,1.426,Death Certificate Only
2015,ON,1.488,Death Certificate Only
2016,ON,1.532,Death Certificate Only
2017,ON,1.449,Death Certificate Only
